T_half_class_days,T_half_lower_bound,T_half_upper_bound,T_half_log10_lower,T_half_log10_upper
708.333333,458.333333,1500.0,2.661,3.176
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
2291.666667,1500.0,inf,3.176,inf
2291.666667,1500.0,inf,3.176,inf
229.166667,145.833333,458.333333,2.164,2.661
0.708333,0.458333,1.5,-0.339,0.176
7.083333,4.6875,15.0,0.671,1.176
708.333333,458.333333,1500.0,2.661,3.176
2.291667,1.5,4.6875,0.176,0.671
2.291667,1.5,4.6875,0.176,0.671
0.708333,0.458333,1.5,-0.339,0.176
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
0.708333,0.458333,1.5,-0.339,0.176
7.083333,4.6875,15.0,0.671,1.176
7.083333,4.6875,15.0,0.671,1.176
0.708333,0.458333,1.5,-0.339,0.176
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
708.333333,458.333333,1500.0,2.661,3.176
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
0.708333,0.458333,1.5,-0.339,0.176
,,,,
22.916667,15.0,45.833333,1.176,1.661
2.291667,1.5,4.6875,0.176,0.671
708.333333,458.333333,1500.0,2.661,3.176
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
0.708333,0.458333,1.5,-0.339,0.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
2.291667,1.5,4.6875,0.176,0.671
2.291667,1.5,4.6875,0.176,0.671
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
0.208333,0.104167,0.458333,-0.982,-0.339
2.291667,1.5,4.6875,0.176,0.671
2.291667,1.5,4.6875,0.176,0.671
708.333333,458.333333,1500.0,2.661,3.176
2.291667,1.5,4.6875,0.176,0.671
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
708.333333,458.333333,1500.0,2.661,3.176
0.708333,0.458333,1.5,-0.339,0.176
70.833333,45.833333,145.833333,1.661,2.164
0.708333,0.458333,1.5,-0.339,0.176
2.291667,1.5,4.6875,0.176,0.671
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
708.333333,458.333333,1500.0,2.661,3.176
7.083333,4.6875,15.0,0.671,1.176
708.333333,458.333333,1500.0,2.661,3.176
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
708.333333,458.333333,1500.0,2.661,3.176
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
2.291667,1.5,4.6875,0.176,0.671
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
22.916667,15.0,45.833333,1.176,1.661
2291.666667,1500.0,inf,3.176,inf
2.291667,1.5,4.6875,0.176,0.671
2.291667,1.5,4.6875,0.176,0.671
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
708.333333,458.333333,1500.0,2.661,3.176
229.166667,145.833333,458.333333,2.164,2.661
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
0.208333,0.104167,0.458333,-0.982,-0.339
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
2291.666667,1500.0,inf,3.176,inf
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
2.291667,1.5,4.6875,0.176,0.671
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
2291.666667,1500.0,inf,3.176,inf
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
2291.666667,1500.0,inf,3.176,inf
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
708.333333,458.333333,1500.0,2.661,3.176
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
2291.666667,1500.0,inf,3.176,inf
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
2.291667,1.5,4.6875,0.176,0.671
70.833333,45.833333,145.833333,1.661,2.164
0.708333,0.458333,1.5,-0.339,0.176
708.333333,458.333333,1500.0,2.661,3.176
2291.666667,1500.0,inf,3.176,inf
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
0.208333,0.104167,0.458333,-0.982,-0.339
22.916667,15.0,45.833333,1.176,1.661
229.166667,145.833333,458.333333,2.164,2.661
7.083333,4.6875,15.0,0.671,1.176
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
0.708333,0.458333,1.5,-0.339,0.176
7.083333,4.6875,15.0,0.671,1.176
2.291667,1.5,4.6875,0.176,0.671
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
0.708333,0.458333,1.5,-0.339,0.176
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
708.333333,458.333333,1500.0,2.661,3.176
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
2.291667,1.5,4.6875,0.176,0.671
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
22.916667,15.0,45.833333,1.176,1.661
0.708333,0.458333,1.5,-0.339,0.176
22.916667,15.0,45.833333,1.176,1.661
7.083333,4.6875,15.0,0.671,1.176
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
2.291667,1.5,4.6875,0.176,0.671
2291.666667,1500.0,inf,3.176,inf
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
22.916667,15.0,45.833333,1.176,1.661
708.333333,458.333333,1500.0,2.661,3.176
70.833333,45.833333,145.833333,1.661,2.164
7.083333,4.6875,15.0,0.671,1.176
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
70.833333,45.833333,145.833333,1.661,2.164
2.291667,1.5,4.6875,0.176,0.671
70.833333,45.833333,145.833333,1.661,2.164
708.333333,458.333333,1500.0,2.661,3.176
229.166667,145.833333,458.333333,2.164,2.661
70.833333,45.833333,145.833333,1.661,2.164
2.291667,1.5,4.6875,0.176,0.671
2.291667,1.5,4.6875,0.176,0.671
7.083333,4.6875,15.0,0.671,1.176
70.833333,45.833333,145.833333,1.661,2.164
229.166667,145.833333,458.333333,2.164,2.661
229.166667,145.833333,458.333333,2.164,2.661
708.333333,458.333333,1500.0,2.661,3.176
22.916667,15.0,45.833333,1.176,1.661
22.916667,15.0,45.833333,1.176,1.661
70.833333,45.833333,145.833333,1.661,2.164
