Compound	CAS	T_half_soil_days	Canonical_smiles	Corrected_names	n_sources
1,1,1-TRICHLOROETHANE	25323-89-1|71-55-6|90229-85-9	485.0	CC(Cl)(Cl)Cl		1
1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE	76-13-1	5.3	FC(F)(Cl)C(F)(Cl)Cl		1
1,1-DICHLOROETHANE	1300-21-6|75-34-3	115.0	CC(Cl)Cl		1
1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN	57653-85-7	7305.0	Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2		1
1,2,3,7,8,9-HEXACHLORODIBENZO-p-DIOXIN	19408-74-3	7305.0	Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2		1
1,2,3-Benzotriazole	273-02-9|27556-51-0|95-14-7	180.0	c1ccc2[nH]nnc2c1		1
1,2-Benzisothiazoline-3-one	1329616-16-1|2634-33-5|40991-37-5	1.0	Oc1nsc2ccccc12		1
1,2-DIBROMO-3-CHLOROPROPANE	67708-83-2|96-12-8	6.6	ClCC(Br)CBr		1
1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	3322-93-8	617.0	BrCC(Br)C1CCC(Br)C(Br)C1		1
1,3-DICHLOROPROPENE	542-75-6	4.0	ClC=CCCl		3
1,4-DICHLORO-2-BUTENE	110-57-6|1476-11-5|764-41-0	2.5	ClCC=CCCl		1
1,4-NAPHTHOQUINONE	130-15-4	1.2	O=C1C=CC(=O)c2ccccc21		1
12-Methylbenz(a)anthracene	2422-79-9	28.0	Cc1c2ccccc2cc2ccc3ccccc3c12		1
1-FLUORO-2,4-DINITROBENZENE	70-34-8	50.0	O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1		1
1-METHOXY-2-HYDROXYPROPANE	107-98-2|1320-67-8	1.0	COCC(C)O		1
1-NAPHTHALENEACETIC ACID	26445-01-2|86-87-3	10.0	O=C(O)Cc1cccc2ccccc12		1
2,2',6,6'-Tetrabromobisphenol A	79-94-7	14.7	CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1		1
2,2-DIBROMO-3-NITRILOPROPIONAMIDE	10222-01-2	0.625	N#CC(Br)(Br)C(=N)O		1
2,3,4,5-TETRACHLORONITROBENZENE	879-39-0	468.0	O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl		1
2,3-DICHLOROANILINE	27134-27-6|608-27-5	54.0	Nc1cccc(Cl)c1Cl		1
2,3-DICHLOROPHENOL	25167-81-1|576-24-9	28.0	Oc1cccc(Cl)c1Cl		1
2,3-DICHLOROPROPANOL	616-23-9	55.3	OCC(Cl)CCl		1
2,4,5-TP	7361-37-7|93-72-1	21.0	CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O		1
2,4-D, DIMETHYLAMINE	2008-39-1	23.0	CNC.O=C(O)COc1ccc(Cl)cc1Cl		1
2,4-Dinitrophenol	1326-82-5|25550-58-7|51-28-5	32.1	O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1		1
2,5-DICHLOROANILINE	95-82-9	56.0	Nc1cc(Cl)ccc1Cl		1
2,5-DICHLOROPHENOL	583-78-8	18.0	Oc1cc(Cl)ccc1Cl		1
2,6-DINITROTOLUENE	606-20-2	92.0	Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]		1
2,6-LUTIDINE	108-48-5|27175-64-0	30.0	Cc1cccc(C)n1		1
2-CHLORONAPHTHALENE	51569-12-1|91-58-7	79.0	Clc1ccc2ccccc2c1		1
2-CHLOROPHENOL	25167-80-0|95-57-8	110.0	Oc1ccccc1Cl		1
2-MERCAPTOBENZOTHIAZOLE	118090-09-8|149-30-4	248.0	Sc1nc2ccccc2s1		2
2-METHYL-4-CHLOROPHENOXYACETIC ACID	94-74-6	60.0	Cc1cc(Cl)ccc1OCC(=O)O		1
3,4-DICHLOROPHENOL	95-77-2	18.0	Oc1ccc(Cl)c(Cl)c1		1
3,5-DIMETHYLPHENOL	108-68-9	310.0	Cc1cc(C)cc(O)c1		1
3,5-XYLYL METHYLCARBAMATE	2655-14-3	750.0	CN=C(O)Oc1cc(C)cc(C)c1		1
3-BROMO-1-PROPYNE	106-96-7	12.0	C#CCBr		1
3-CHLOROPHENOL	108-43-0	160.0	Oc1cccc(Cl)c1		1
3-Chloro-p-toluidine	827571-80-2|95-74-9	1.04	Cc1ccc(N)cc1Cl		1
3-IODO-2-PROPYNYL BUTYLCARBAMATE	1246815-08-6|55406-53-6|85045-09-6	0.08875	CCCCN=C(O)OCC#CI		1
3-METHYL-4-CHLOROPHENOL	59-50-7	21.0	Cc1cc(O)ccc1Cl		1
3-METHYL-6-CHLOROPHENOL	615-74-7	2.1	Cc1ccc(Cl)c(O)c1		1
4-AMINOPYRIDINE	504-24-5	960.0	N=c1cc[nH]cc1		1
4-BROMOPHENOL	106-41-2	18.4	Oc1ccc(Br)cc1		1
4-CHLORO-2-METHYLPHENOL	1570-64-5	21.0	Cc1cc(Cl)ccc1O		1
4-METHYL-2,6-DINITROPHENOL	609-93-8	15.0	Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1		1
4-Nonylphenol	104-40-5	1.4	CCCCCCCCCc1ccc(O)cc1		1
ABAMECTIN	0065195-55-3|71751-41-2	47.0	CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3C(C)=CC[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O		1
ACENAPHTHYLENE	208-96-8|34493-60-2	121.3	C1=Cc2cccc3cccc1c23		1
ACEPHATE	30560-19-1	3.0	COP(=O)(N=C(C)O)SC		1
ACEQUINOCYL	57960-19-7	2.0	CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O		1
ACETAMIPRID	135410-20-7|160430-64-8	18.0	CC(=NC#N)N(C)Cc1ccc(Cl)nc1		1
ACETOCHLOR	123113-74-6|34256-82-1	14.9	CCOCN(C(=O)CCl)c1c(C)cccc1CC		1
ACIBENZOLAR-S-METHYL	135158-54-2	0.2083333	CSC(=O)c1cccc2nnsc12		1
ACIFLUORFEN-SODIUM	62476-59-9	200.0	O=C([O-])c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-].[Na+]		1
ACRIDINE	260-94-6|39327-16-7	3.0	c1ccc2nc3ccccc3cc2c1		1
ACRYLAMIDE	79-06-1|9082-06-8	1.875	C=CC(=N)O		1
ALACHLOR	1246817-91-3|15972-60-8	469.0	CCc1cccc(CC)c1N(COC)C(=O)CCl		1
ALLYL ISOTHIOCYANATE	57-06-7	2.0	C=CCN=C=S		1
ALPHACYPERMETHRIN	65731-84-2|67375-30-8|72204-44-5	14.0	CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl		1
ALPHA-HEXACHLOROCYCLOHEXANE	119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0	90.0	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl		5
AMETRYNE	834-12-8	25.0	CCN=c1nc(SC)[nH]c(=NC(C)C)[nH]1		1
AMICARBAZONE	129909-90-6	50.0	CC(C)c1nn(C(O)=NC(C)(C)C)c(=O)n1N		1
Aminocyclopyrachlor	858955-50-7|858956-08-8	433.0	N=c1[nH]c(C2CC2)nc(C(=O)O)c1Cl		1
Aminopyralid	150114-71-9	533.2	Nc1cc(Cl)nc(C(=O)O)c1Cl		1
AMITRAZ	33089-61-1	1.0	Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1		1
AMITRIPTYLINE	50-48-6	85.2	CN(C)CCC=C1c2ccccc2CCc2ccccc21		1
AMOXICILLIN	26787-78-0|61336-70-7	1.0	CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O		1
Androstenedione	117598-81-9|63-05-8	3.2	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12		2
AZADIRACHTIN	11141-17-6|176087-49-3	91.2	CC=C(C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32		1
AZINPHOSMETHYL	86-50-0	68.0	COP(=S)(OC)SCn1nnc2ccccc2c1=O		1
BACITRACIN		22.5	CCC(C)[C@H](N)C1=NCC(C(O)=N[C@@H](CC(C)C)C(O)=N[C@H](CCC(=O)O)C(O)=N[C@H](C(O)=N[C@H]2CCCCN=C(O)[C@H](CC(=N)O)N=C(O)[C@@H](CC(=O)O)N=C(O)[C@H](Cc3cnc[nH]3)N=C(O)[C@@H](Cc3ccccc3)N=C(O)[C@H](C(C)CC)N=C(O)[C@@H](CCCN)N=C2O)C(C)CC)S1	(4R)-4-[(2S)-2-({2-[(1S)-1-amino-2-methylbutyl]- 4,5-dihydro-1,3-thiazol-5-yl}formamido)-4-methylpentanamido]-4-{[(1S)- 1-{[(3S,6R,9S,12R,15S,18R,21S)- 18-(3-aminopropyl)-12-benzyl-15-(butan-2-yl)-3-(carbamoylmethyl)- 6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20- heptaoxo-1,4,7,10,13,16,19-heptaazacyclopentacosan-21-yl]carbamoyl}- 2-methylbutyl]carbamoyl}butanoic acid	1
BANTROL	13684-83-4|1689-83-4	10.0	N#Cc1cc(I)c(O)c(I)c1		1
BENDIOCARB	22781-23-3	12.0	CN=C(O)Oc1cccc2c1OC(C)(C)O2		1
BENFLURALIN	1861-40-1	86.0	CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]		1
Bentazon	25057-89-0	46.0	CC(C)N1C(=O)c2ccccc2NS1(=O)=O		1
BENTHIAVALICARB ISOPROPYL	177406-68-7	19.0	CC(C)OC(O)=N[C@H](C(O)=N[C@H](C)c1nc2ccc(F)cc2s1)C(C)C		1
BENZO(B)FLUORANTHENE	1397206-82-4|205-99-2	610.0	c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13		1
BETANAL	13684-63-4	55.0	COC(O)=Nc1cccc(OC(O)=Nc2cccc(C)c2)c1		1
Bifenazate	149877-41-8	77.9	COc1ccc(-c2ccccc2)cc1NN=C(O)OC(C)C		1
BIFENOX	42576-02-3	7.0	COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]		1
Bifenthrin	439680-76-9|82657-04-3	1410.0	Cc1c(COC(=O)[C@@H]2[C@H](C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1		1
BIS(2-BUTOXYETHYL) PHTHALATE	117-83-9	10.0	CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC		1
BOSCALID	188425-85-6	578.0	OC(=Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl		1
BRODIFACOUM	56073-10-0|80449-88-3	157.0	O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21		1
BROMACIL	314-40-9|8027-85-8	275.0	CCC(C)n1c(O)nc(C)c(Br)c1=O		1
Bromethalin	63333-35-7	178.0	CN(c1c(Br)cc(Br)cc1Br)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F		1
BROMOPHOS	2104-96-3	88.5	COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl		1
BROMOXYNIL	1689-84-5|2961-68-4	10.0	N#Cc1cc(Br)c(O)c(Br)c1		1
BROMOXYNIL OCTANOATE	1689-99-2	28.0	CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br		1
Buprofezin	69327-76-0|953030-84-7	120.0	CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C		1
BUTACHLOR	23184-66-9	640.0	CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC		1
BUTOXYCARBOXIM	34681-23-7	44.0	CN=C(O)ON=C(C)C(C)S(C)(=O)=O		1
BUTRALIN	33629-47-9	52.0	CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-]		1
Butylate	2008-41-5	24.0	CCSC(=O)N(CC(C)C)CC(C)C		1
Cadusafos	103735-82-6|95465-99-9	42.6	CCOP(=O)(SC(C)CC)SC(C)CC		1
CAPTAFOL	2425-06-1	55.0	O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl		1
CARBOXIN	5234-68-4	129.0	CC1=C(C(O)=Nc2ccccc2)SCCO1		1
CARFENTRAZONE-ETHYL	128639-02-1	1.7	CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl		1
CHLORBROMURON	13360-45-7	66.0	CON(C)C(O)=Nc1ccc(Br)c(Cl)c1		1
CHLORETHOXYFOS	54593-83-8	20.0	CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl		1
CHLORFENAPYR	122453-73-0	250.0	CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F		1
CHLOROBENZILATE	510-15-6	35.0	CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1		1
CHLOROFENVINPHOS	135373-33-0|18708-87-7|470-90-6	150.0	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl		1
CHLORONEB	2675-77-6	180.0	COc1cc(Cl)c(OC)cc1Cl		1
CHLOROPHACINONE	3691-35-8	47.3	O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1		1
CHLORPYRIFOS-METHYL	5598-13-0	11.0	COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl		1
CHLORSULFURON	112143-77-8|64902-72-3|79793-04-7	28.0	COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2Cl)[nH]1		1
CHLORTOLURON	15545-48-9	4730.0	Cc1ccc(N=C(O)N(C)C)cc1Cl		1
CIODRIN	29900-31-0|326-12-5|7700-17-6	3.208333	COP(=O)(OC)OC(C)=CC(=O)OC(C)c1ccccc1		1
Clethodim	99129-21-2	3.0	CCSC(C)CC1CC(=O)C(C(CC)=NOCC=CCl)=C(O)C1		1
CLINDAMYCIN	18323-44-9	86.0	CCC[C@@H]1C[C@@H](C(O)=N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1		1
CLODINAFOP-PROPARGYL	105512-06-9|126301-94-8	33.6	C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1		1
CLOPYRALID	1702-17-6	38.0	O=C(O)c1nc(Cl)ccc1Cl		1
CLORANSULAM-METHYL	147150-35-4	13.0	CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3C(=O)OC)nn12		1
Clothianidin	205510-53-8|210880-92-5	1155.0	CN=C(NCc1cnc(Cl)s1)N[N+](=O)[O-]		1
COUMAPHOS	56-72-4	300.0	CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1		1
CRESOL		11.3	Cc1ccccc1O		2
CYANAZINE	21725-46-2	200.0	CCN=c1nc(Cl)nc(NC(C)(C)C#N)[nH]1		1
CYAZOFAMID	120116-88-3	6.4	Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1		1
CYCLANILIDE	113136-77-9	95.0	O=C(O)C1(C(O)=Nc2ccc(Cl)cc2Cl)CC1		1
CYCLOATE	1134-23-2	192.0	CCSC(=O)N(CC)C1CCCCC1		1
CYFLUTHRIN	68359-37-5	116.0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1		1
CYHALOTHRIN	1456768-92-5|68085-85-8	84.0	CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1		1
CYMOXANIL	166900-80-7|57966-95-7	7.0	CCN=C(O)N=C(O)C(C#N)=NOC		1
CYPERMETHRIN	137497-61-1|211504-93-7|52315-07-8|71697-59-1|72204-44-5|86753-92-6|97955-44-7	71.0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1		1
CYPROCONAZOLE	113096-99-4|94361-06-5	129.0	CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1		1
D(+)-Glucose	2280-44-6|50-99-7|54-17-1	19.0	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O		1
DAMINOZIDE	1596-84-5	0.3958333	CN(C)N=C(O)CCC(=O)O		1
DDD	72-54-8	160.0	Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1		1
DELTAMETHRIN	52918-63-5|62229-77-0	72.0	CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br		1
DEMETON-S-METHYL	919-86-8	26.0	CCSCCSP(=O)(OC)OC		1
DESETHYL ATRAZINE	6190-65-4	58.7	CC(C)N=c1[nH]c(Cl)nc(=N)[nH]1		1
Dibenzo(a,i)pyrene	189-55-9	371.0	c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34		1
DICHLOBENIL	104809-79-2|1194-65-6	346.0	N#Cc1c(Cl)cccc1Cl		1
DICHLOROPROP	120-36-5|7547-66-2	52.0	CC(Oc1ccc(Cl)cc1Cl)C(=O)O		1
DICHLOROPROPENE		16.0	CC=C(Cl)Cl		1
Dichlorvos	62-73-7	16.0	COP(=O)(OC)OC=C(Cl)Cl		1
DICOFOL	115-32-2	348.0	OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl		1
DICROTOPHOS	141-66-2|3735-78-2	7.0	COP(=O)(OC)OC(C)=CC(=O)N(C)C		1
DIFENACOUM	56073-07-5	439.0	O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21		1
Difenoconazole	119446-68-3	1600.0	CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1		1
DIFLUBENZURON	35367-38-5	27.0	O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(Cl)cc1		1
DIFLUFENZOPYR	109293-97-2|1957168-02-3	10.0	CC(=NNC(O)=Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O		1
DIHEXYL PHTHALATE	84-75-3	9.7	CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC		1
Diiodomethyl p-tolyl sulfone	20018-09-1|66456-97-1	173.0	Cc1ccc(S(=O)(=O)C(I)I)cc1		1
DIISOPROPYL METHYLPHOSPHONATE	1445-75-6	730.0	CC(C)OP(C)(=O)OC(C)C		1
Dikegulac sodium	52508-35-7	15.0	CC1(C)OC[C@@H]2O[C@@]3(C(=O)[O-])OC(C)(C)O[C@H]3[C@@H]2O1.[Na+]		1
Dimethenamid-P	163515-14-8	79.0	COC[C@H](C)N(C(=O)CCl)c1c(C)csc1C		1
DIMETHOATE	60-51-5	122.0	CN=C(O)CSP(=S)(OC)OC		1
DIMETHYL TETRACHLOROTEREPHTHALATE	1861-32-1	105.0	COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl		1
Dimethylselenide	593-79-3	36.45833	C[Se]C		1
Dinotefuran	165252-70-0	81.5	CN=C(NCC1CCOC1)N[N+](=O)[O-]		1
DINOTERB	1420-07-1	46.0	CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O		1
Diphacinone	82-66-6	31.7	O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1		1
DIPHENAMID	5104-31-4|957-51-7	36.0	CN(C)C(=O)C(c1ccccc1)c1ccccc1		1
DISULFOTON	298-04-4	50.0	CCOP(=S)(OCC)SCCSCC		1
Dithiopyr	97886-45-8	61.0	CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C		1
DIUNDECYL PHTHALATE	3648-20-2|39393-37-8	17.5	CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC		1
DYRENE	101-05-3	2.5	Clc1nc(Cl)[nH]c(=Nc2ccccc2Cl)n1		1
EDIFENPHOS	17109-49-8	6.0	CCOP(=O)(Sc1ccccc1)Sc1ccccc1		1
